scenario_name,algorithm,size,annealings,iterations,status,evaluation,exec_time
scenario3,qnn,6,5,15,solution_found,256.59000000000003,3.0366105418652296
scenario2,dj,10,25,25,solution_found,575.2319846908541,40.94784430228174
scenario1,dj,10,25,1,solution_found,482.5041150566441,2.1447900477796793
scenario3,qnn,8,20,35,solution_found,254.50000000000003,27.728836873546243
scenario2,qft,10,25,50,solution_found,253.6361748903068,68.4092311207205
scenario2,realamprandom,8,30,45,solution_found,253.8516244419667,71.93280201405287
scenario2,qnn,8,5,40,solution_found,365.0905369481771,11.03746103681624
scenario3,twolocalrandom,8,15,25,solution_found,196.9,14.611414572224021
scenario3,dj,8,10,20,solution_found,377.6,9.23626058921218
scenario3,vqe,6,5,55,solution_found,194.72000000000003,10.30650362931192
scenario3,twolocalrandom,6,25,25,solution_found,195.7,23.096845969557762
scenario3,realamprandom,8,5,20,solution_found,202.16000000000003,4.057228446006775
scenario2,qaoa,6,10,20,solution_found,665.6594646252,11.73864689655602
scenario3,dj,6,25,30,solution_found,374.24,31.648603975772858
scenario2,qaoa,10,1,15,solution_found,656.4741698329549,1.2842347081750631
scenario1,qnn,6,1,30,solution_found,277.68383281367824,2.1389168240129948
scenario1,vqe,6,15,25,solution_found,201.00918253518807,21.977801291272044
scenario1,twolocalrandom,10,15,45,solution_found,200.76576461359878,40.901891911402345
scenario3,qaoa,8,1,35,solution_found,444.33,1.891806548461318
scenario1,qaoa,10,10,50,solution_found,574.7675342179555,13.715114448219538
